ID,Titolo,Sottotitolo
165,Turismo nei mesi non estivi,Giornate di presenza (italiani e stranieri) nel complesso degli esercizi ricettivi nei mesi non estivi per abitante
132,Produttività del lavoro nel turismo,Valore aggiunto del settore del turismo per ULA dello stesso settore - migliaia di euro concatenati (anno di riferimento 2000)
025,Grado di partecipazione del pubblico agli spettacoli teatrali e musicali,Spesa media pro-capite del pubblico per attività teatrali e musicali (eurolire e euro costanti 2010)
257,Indice di domanda culturale degli istituti non statali (media per istituto),Numero di visitatori degli istituti di antichità e d'arte non statali per istituto (valori in migliaia)
029,Volume di lavoro impiegato nel settore ricreazione e cultura,"Unità di lavoro (ULA) del settore ""ricreazione e cultura"" (% sul totale)"
023,Indice di domanda culturale degli istituti statali (per Kmq),Numero di visitatori degli istituti statali di antichità e d'arte per kmq
032,Incidenza dei biglietti venduti nei circuiti museali,Numero di biglietti dei circuiti museali sul totale dei biglietti degli istituti statali di antichità e d'arte (%)
027,Grado di diffusione degli spettacoli teatrali e musicali,Biglietti venduti per attività teatrali e musicali per 100 abitanti
018,Indice di domanda culturale degli istituti statali (media per istituto),Numero di visitatori degli istituti statali di antichità e d'arte per istituto statale (valori in migliaia)
024,Grado di promozione dell'offerta culturale degli istituti statali,Visitatori paganti su visitatori non paganti degli istituti statali di antichità e di arte con ingresso a pagamento (%)
258,Indice di domanda culturale degli istituti non statali (per Kmq),Numero di visitatori degli istituti di antichità e d'arte non statali per kmq
028,Incidenza della spesa per ricreazione e cultura,"% di spesa per consumi delle famiglie per ""ricreazione e cultura"" sul totale della spesa per consumi delle famiglie"
030,Indice di domanda culturale (circuiti museali),Numero di visitatori dei circuiti museali sul totale istituti statali di antichità e d'arte appartenenti ai circuiti (valori in migliaia)
105,Capacità di attrazione dei consumi turistici,Giornate di presenza (italiani e stranieri) nel complesso degli esercizi ricettivi per abitante
259,Grado di promozione dell'offerta culturale degli istituti non statali,Visitatori paganti su visitatori non paganti degli istituti di antichità e di arte non statali con ingresso a pagamento (%)
