ID,Titolo,Sottotitolo
001,Produttività del lavoro in agricoltura,"Valore aggiunto dell'agricoltura, della caccia e della silvicoltura sulle ULA dello stesso settore (migliaia di euro concatenati - anno di riferimento 2000)"
241,Tasso di iscrizione lordo nel registro delle imprese,imprese iscritte sul totale delle imprese registrate nell'anno precedente per 100
159,Investimenti diretti della regione all'estero,Investimenti diretti netti della regione all'estero in percentuale al PIL
096,Capacità di esportare,Valore delle esportazioni di merci in % del PIL
242,Tasso di iscrizione netto nel registro delle imprese,Percentuale di imprese iscritte meno imprese cessate sul totale delle imprese registrate nell'anno precedente
166,Investimenti diretti netti dall'estero in Italia sul Pil,Investimenti diretti netti dall'estero in Italia in percentuale al Pil
115,Capacità di sviluppo dei servizi alle imprese,"Unità di lavoro nel settore delle ""Attività immobiliari e imprenditoriali"" sul totale delle unità di lavoro dei servizi destinabili alla vendita (%)"
148,Imprese che hanno introdotto innovazioni di prodotto e/o di processo,Numero di imprese che hanno introdotto innovazioni di prodotto e/o di processo sul totale delle imprese
093,Incidenza della spesa delle imprese in Ricerca e Sviluppo (R&S),Spese per ricerca e sviluppo delle imprese pubbliche e private in percentuale del PIL
094,Capacità di finanziamento,Differenziale dei tassi attivi sui finanziamenti per cassa con il Centro-Nord
158,Incidenza della certificazione ambientale,Siti di organizzazioni con certificazione ambientale ISO 14001 sul totale dei siti di organizzazioni certificate
095,Capacità di attrazione di investimenti esteri,Investimenti diretti lordi dall'estero in Italia su investimenti diretti netti in EU15 (0/00)
194,Laureati in scienza e tecnologia (maschi),Laureati in discipline scientifiche e tecnologiche per mille abitanti in età 20-29 anni
005,Superficie irrigata/irrigabile nelle aziende agricole,Ettari di superficie irrigata/irrigabile sul totale della superficie agricola utilizzata (SAU)
100,Grado di dipendenza economica,Importazioni nette in percentuale del PIL
107,Produttività del lavoro nell'industria alimentare,"Valore aggiunto dell'industria alimentare, delle bevande e del tabacco sulle ULA dello stesso settore (migliaia di euro concatenati - anno di riferimento 2000)"
167,Intensità di accumulazione del capitale,Investimenti fissi lordi in percentuale del PIL
249,Andamento dell'occupazione del settore della pesca,"Variazione percentuale rispetto all'anno precedente delle unità di lavoro del settore della pesca, della piscicoltura e dei servizi connessi"
162,Rischio dei finanziamenti,Tasso di decadimento dei finanziamenti per cassa
251,Addetti alla Ricerca e Sviluppo (R&S),Addetti alla Ricerca e Sviluppo per 1000 abitanti
157,Tasso netto di turnover delle imprese,Differenza tra il tasso di natalità e di mortalità delle imprese
121,Produttività del lavoro nell'artigianato,Valore aggiunto per addetto delle PMI iscritte ad albo artigiano (migliaia di euro correnti)
130,Produttività del lavoro nel commercio,Valore aggiunto del settore Commercio per Unità di lavoro dello stesso settore (migliaia di euro concatenati - anno di riferimento 2000)
137,Produttività del lavoro nelle PMI,Valore aggiunto aziendale per addetto nelle piccole e medie imprese (migliaia di euro correnti)
150,Spesa media regionale per innovazione delle imprese,Spesa media regionale per innovazione per addetto nella popolazione totale delle imprese (migliaia di euro correnti)
124,Produttività del lavoro nell'industria manifatturiera,Valore aggiunto dell'industria manifatturiera per Unità di lavoro dello stesso settore (migliaia di euro concatenati - anno di riferimento 2000)
097,Grado di apertura dei mercati: importazioni,Valore delle importazioni di merci in % del PIL
133,Produttività del lavoro nei servizi di intermediazione monetaria e finanziaria e nelle attività immobiliari e imprenditoriali,Valore aggiunto dei settori intermediazione monetaria e finanziaria e attività immobiliari ed imprenditoriali sulle ULA degli stessi settori (migliaia di euro concatenati - anno di riferimento 2000)
123,Produttività del lavoro nell'industria in senso stretto,Valore aggiunto dell'industria in senso stretto per Unità di Lavoro dello stesso settore (migliaia di euro concatenati - anno di riferimento 2000)
164,Investimenti in capitale di rischio - expansion e replacement,Investimenti in capitale di rischio - expansion e replacement in percentuale del Pil
152,Intensità brevettuale,Numero di brevetti registrati allo European Patent Office (EPO) per milione di abitanti
161,Intensità creditizia,Impieghi bancari (consistenza media annua) in percentuale al Pil
163,Investimenti in capitale di rischio - early stage,Investimenti in capitale di rischio - early stage in percentuale del Pil
122,Importanza economica del settore della pesca,"Percentuale del valore aggiunto ai prezzi base della pesca, della piscicoltura e servizi connessi sul valore aggiunto totale"
003,Incidenza dell'occupazione nei distretti industriali del 2001,Quota di occupati interni nei SLL 2001 di PMI della regione sul totale degli occupati interni
109,Produttività del settore della pesca,"Valore aggiunto della pesca, piscicoltura e servizi connessi per ULA dello stesso settore (migliaia di euro concatenati - anno di riferimento 2000)"
114,Capacità innovativa,"Spesa sostenuta per attività di ricerca e sviluppo intra muros della Pubblica Amministrazione, dell'Università e delle imprese pubbliche e private in percentuale del Pil"
250,Tasso di crescita dell'agricoltura,Variazione percentuale rispetto all'anno precedente del valore aggiunto ai prezzi di base della branca agricoltura e caccia
035,Peso dell'export del settore agroalimentare,Valore delle esportazioni di prodotti agroalimentari in percentuale del PIL
