ID,Titolo,Sottotitolo
040,Indice di criminalità violenta,Crimini violenti per 10.000 abitanti
037,Indice di criminalità diffusa (1),Furti e rapine meno gravi per 1.000 abitanti
038,Indice di criminalità diffusa (2),Furti e rapine meno gravi sul totale dei delitti  (%)
120,Peso delle società cooperative,Percentuale degli addetti delle società cooperative sul totale degli addetti
116,Capacità di sviluppo dei servizi sociali,Persone di 14 anni e più che hanno svolto volontariato sul totale della popolazione di 14 anni e più (%)
039,Indice di criminalità organizzata,Numero di delitti legati alla criminalità organizzata ponderati per le pene medie edittali (numero indice 1995=100)
246,Popolazione residente nei comuni rurali (femmine),Variazione percentuale annua della popolazione residente nei comuni rurali
041,Indice di criminalità minorile (escluso il furto),Totale dei minori denunciati per ogni tipologia di delitto escluso il furto sul totale dei minori denunciati (%)
076,Indice di povertà regionale (famiglie),Popolazione che vive in famiglie al di sotto della soglia di povertà (%)
042,Indice di criminalità minorile,Minorenni denunciati per ogni tipologia di reato sul totale delle persone denunciate (%)
113,Capacità di offrire lavoro regolare,Unità di lavoro irregolari sul totale delle unità di lavoro (%)
043,Percezione delle famiglie del rischio di criminalità nella zona in cui vivono,Famiglie che avvertono molto o abbastanza disagio al rischio di criminalità nella zona in cui vivono sul totale delle famiglie in %
247,Popolazione residente nei comuni rurali (Maschi),Variazione percentuale annua della popolazione residente nei comuni rurali
074,Indice di povertà regionale (popolazione),Popolazione che vive in famiglie al di sotto della soglia di povertà (%)
245,Popolazione residente nei comuni rurali,Tasso di crescita annuale della popolazione residente nei comuni rurali
