ID,Titolo,Sottotitolo
207,Utilizzo di mezzi pubblici di trasporto (maschi),Utenti di mezzi pubblici sul totale delle persone che si sono spostate per motivi di lavoro e hanno usato mezzi di trasporto (%)
139,Dotazione di parcheggi di corrispondenza,Numero di stalli di sosta nei parcheggi di corrispondenza dei comuni capoluogo di provincia per 1.000 autovetture circolanti
126,Difficoltà delle famiglie nel raggiungere negozi alimentari e/o mercati,Famiglie che dichiarano molta o abbastanza difficoltà nel raggiungere negozi alimentari e/o mercati (%)
265,Monitoraggio della qualità dell'aria,Dotazione di stazioni di monitoraggio dell'aria (valori per 100.000 abitanti)
127,Difficoltà delle famiglie nel raggiungere i supermercati,Famiglie che dichiarano molta o abbastanza difficoltà nel raggiungere i supermercati (%)
244,Indice di attrattività delle università,Rapporto tra saldo migratorio netto degli studenti e il totale degli studenti immatricolati (%)
129,Utilizzo di mezzi pubblici di trasporto,"Occupati, studenti e scolari, utenti di mezzi pubblici sul totale delle persone che si sono spostate per motivi di lavoro e di studio e hanno usato mezzi di trasporto (%)"
252,Verde pubblico nelle città,"Metri quadri di verde urbano (gestito da comuni, province, regioni e stato) nei comuni capoluogo di provincia per abitante"
134,Indice di microcriminalità nelle città (1),Totale delitti legati alla microcriminalità nelle città per 1.000 abitanti
135,Indice di microcriminalità nelle città (2),Totale delitti legati alla microcriminalità nelle città sul totale dei delitti (%)
138,Trasporto pubblico locale nelle città,Linee urbane di trasporto pubblico locale nei comuni capoluogo di provincia per 100 Kmq di superficie comunale
141,Indice di attrattività dei servizi ospedalieri,Emigrazione ospedaliera in altra regione per ricoveri ordinari acuti sul totale delle persone ospedalizzate residenti nella regione (%)
208,Utilizzo di mezzi pubblici di trasporto (femmine),Utenti di mezzi pubblici sul totale delle persone che si sono spostate per motivi di lavoro e hanno usato mezzi di trasporto (%)
